Zip,Household Median,Family Median,Married Couple Median,Nonfamily Household Median,Household Mean,Family Mean,Married Couple Mean,Nonfamily Mean
97206,63381,73838,88750,50060,76845,85101,N,60147
97208,-,-,-,-,-,-,-,-
97209,61070,100673,116200,48497,87462,146316,N,71554
97210,79696,166061,179104,48188,138806,216505,N,86337
97211,78154,96901,113814,55697,95509,107979,N,76325
97212,101492,134208,146728,59366,136986,174889,N,79434
97213,71574,93484,109668,49356,92113,115440,N,61553
97214,65183,101327,122109,48550,87672,125537,N,62733
97215,80024,109403,117098,50898,105871,130109,N,75041
97216,45742,55962,61250,32146,58314,65793,N,42939
97217,74094,85549,99852,58765,89405,99807,N,75849
97218,63791,67048,83547,40625,71324,74557,N,59453
97219,97454,122248,133594,61194,128818,153532,N,84137
97220,51575,63662,80058,38163,64552,74892,N,48286
97221,109119,143453,167344,57143,151127,188386,N,78502
97222,58998,74581,86578,39806,70932,83651,N,48764
97223,79300,97150,107426,43482,96946,113846,N,61572
97224,74498,96831,110664,45616,100467,123247,N,60401
97225,81965,122656,131387,48721,110183,147751,N,63676
97227,60333,77292,104615,51825,90736,124811,N,72657
97229,112456,139240,157753,53499,148736,171703,N,73071
97230,51506,63858,76171,35238,64797,73427,82639,46952
97231,91786,128194,133984,43125,164915,188088,N,116884
97232,59807,118929,127379,46417,89620,147189,N,61734
97233,39957,45450,62899,26815,50839,54970,N,37397
97236,47969,53591,70370,25167,62358,70387,N,35746
97239,86455,139563,149760,62705,121579,164772,N,82961
97266,48138,55042,69162,33750,60626,64008,73731,48161
97267,68948,86347,94154,41963,86880,102843,N,54298
97301,39670,48262,58718,27156,52194,60827,N,37775
97302,63366,80615,93457,40275,83830,101236,117928,52695
97303,61828,72782,89574,39280,76629,85514,N,54996
97304,66438,82277,94696,35640,86017,95443,N,60081
97305,49348,54630,63610,34416,59337,64704,N,41217
97306,65570,78382,91386,39854,86194,97406,N,56914
97317,60099,62329,77649,34406,75750,82088,N,49684
97321,70404,82573,98313,40494,83388,96040,N,50795
97322,49966,63285,72098,33680,65320,77719,N,39450
97324,57440,73958,79375,23229,67056,79894,N,28037
97325,58510,62229,73681,39615,72415,78219,N,39967
97326,55375,51550,58583,56000,69223,69006,N,65682
